卫生间	装修_毛	容积率_	绿化率_	物业费_	面积	地铁	学校	X	Y	建造年	房价
1	2	3.4	0.3	2.2	101.8	732.7813674	132.6597002	449528.1683	4432248.123	26	640
3	2	1.36	0.4	2.98	193	685.0926295	515.4812733	451536.9452	4432134.053	35	1550
1	2	2.02	0.3	3.15	89.5	688.084591	996.1018134	451735.0523	4433319.129	34	860
1	2	1.57	0.36	1.22	40.2	574.138957	943.9959377	451634.2447	4431151.904	24	280
1	2	0.8	0.45	0.75	65.2	821.8161417	627.2179374	450037.1706	4430825.979	21	475
1	2	2.71	0.31	0.65	35.8	636.9686492	422.7559325	449000.5972	4433581.488	28	280
3	2	0.89	0.4	2.8	157.6	511.3975211	226.9814146	451219.5707	4432277.079	29	1430
1	2	1.6	0.35	1.25	69.4	187.0510807	412.4544232	438533.666	4422706.615	19	256
2	3	3	0.45	6	164.4	1392.910251	393.5853529	458748.6848	4419573.199	40	416
3	2	2	0.37	0.62	251	612.9026978	437.2595939	451856.8491	4412774.887	31	2050
2	2	3.2	0.32	2.3	166	390.6401034	89.46512094	456153.3646	4418129.601	37	730
1	2	2	0.3	0.64	380.2	362.8759833	104.8269495	444305.8403	4420570.809	40	1550
3	2	1.3	0.3	9.72	263	1139.882827	2080.870284	458422.4201	4432886.577	36	2999
4	0	1.2	0.3	3.2	329	1689.426176	2692.363152	461135.9126	4408589.371	42	1420
2	2	3	0.3	5.18	137.7	344.8785347	603.9843944	451573.5518	4409628.302	39	950
1	1	1.2	0.3	0.9	380.2	246.8577311	201.1416541	445127.1288	4416040.386	40	1550
3	2	0.5	0.3	0.9	200	597.1270692	158.4829606	445929.7047	4418562.379	33	2500
3	2	1.5	0.3	2.34	252.7	1571.59314	1005.480268	432834.2327	4403179.334	29	1295
1	2	2	0.3	2.1	54.3	910.6559737	543.7477036	429585.7728	4401595.014	29	262
1	2	2.95	0.5	10	101	144.2174064	524.5637871	455369.1347	4425014.047	36	409
1	0	1.5	0.33	0.65	81.6	1807.164872	1077.666074	445615.9581	4437664.564	21	249
1	2	1.5	0.25	0.6	61.2	1709.750099	678.9353682	434998.716	4453093.355	13	268
2	2	2.09	0.3	1.36	338.8	427.9957978	384.0342782	433584.4069	4452169.351	26	1100
1	1	0.5	0.35	1	108.5	1309.095999	1011.237072	437080.1953	4452875.614	26	460
2	1	1.2	0.28	2.1	123.7	454.3906588	640.2156028	435904.7011	4451433.73	21	550
2	1	1.08	0.3	0.5	119.2	844.7809579	231.9268879	435501.1092	4451269.149	17	470
1	1	3	0.38	0.5	104.8	1469.904132	825.8633698	433377.0887	4453188.477	21	310
2	2	3.73	0.4	1.6	153.6	1141.759511	47.28622675	434699.3341	4452314.202	26	610
1	2	1.2	0.3	0.5	84.5	1984.69469	368.4171149	434466.9506	4449932.525	29	269
1	1	2.26	0.3	2.5	71.4	1751.630196	1270.810481	436837.1092	4453424.214	21	420
1	2	1.2	0.31	0.6	53.4	1412.241909	658.7390634	433988.7304	4453137.682	11	208
2	2	2.5	0.4	2.38	142	924.9917706	1122.694454	436485.7476	4450966.708	31	645
2	2	1.5	0.35	1.5	134.4	742.1046828	718.179267	436086.5536	4451083.885	26	538
1	2	1.5	0.3	0.5	105.2	1499.051434	266.6487762	432201.0075	4451766.72	21	285
1	2	1.3	0.3	0.45	104.3	571.3100771	217.866039	436466.2319	4452289.264	27	425
1	2	1.5	0.3	0.5	78.1	1481.718753	195.0200781	432394.1986	4452456.755	23	210
2	1	1.3	0.3	0.5	114.3	1109.312058	525.3816842	433608.3353	4452861.084	21	270
1	2	1.7	0.6	1.9	88.4	1796.580842	1436.225109	437108.8554	4453448.205	29	435
2	2	2.9	0.1	1	137.6	396.5980741	363.8697076	433950.1664	4451450.462	11	400
1	1	1.2	0.36	0.98	60.5	663.2892468	136.1904793	435482.511	4451723.707	12	223
1	1	2.5	0.3	2.29	68.6	1943.687982	405.32196	435365.4587	4450043.741	21	282
1	2	1.03	0.4	0.6	91.5	500.9740174	421.5286446	433887.463	4451294.871	21	345
2	2	1.03	0.4	0.6	126.1	711.4405034	322.6097682	433947.3073	4451092.987	21	460
1	2	1	0.3	0.8	61.2	614.3935379	141.6383763	434162.3801	4451353.022	21	223
1	1	1.3	0.3	0.6	86	977.7683428	247.8598581	435160.824	4451853.301	21	372
5	2	0.35	0.57	3.8	215.3	2873.436695	2380.89471	436755.2404	4454620.655	31	1480
2	2	2.5	0.3	0.4	143.2	403.6540499	771.5084126	436210.2568	4451425.789	20	490
1	2	2.2	0.3	3	96.7	1427.819904	277.9516411	434730.9679	4452746.565	22	360
1	2	2	0.3	0.6	102.4	1016.350956	140.8244924	435126.2582	4451726.23	24	438
1	1	2.46	0.2	1	59.3	1412.661227	715.2846156	433797.3934	4453164.226	6	206
1	1	1.5	0.35	1.5	83.1	608.3168752	818.0698575	436174.9959	4451216.483	22	320
0	2	1.2	0.2	0.9	57.1	644.8154767	167.7132987	434172.4675	4452198.638	11	217
2	2	1.2	0.3	0.5	99.1	721.0900205	105.2656728	434411.0443	4451625.997	21	338
1	2	1.8	0.2	0.4	85	419.3727425	292.5213388	433804.5825	4452164.245	21	350
1	2	1.9	0.4	0.55	86	1092.115922	128.9730234	434475.8842	4452527.62	11	330
1	1	1.8	0.35	0.5	87	1413.332705	246.9534067	432456.5374	4452892.993	21	268
1	2	2.29	0.3	1.9	89.8	900.4019695	764.263604	436991.5258	4452119.473	21	348
1	1	1.2	0.32	0.9	79.7	1004.263271	281.8141611	433891.3746	4452742.226	21	305
1	2	1.3	0.15	0.88	55.5	1720.013249	525.6277844	434815.3733	4453066.733	4	220
1	2	2.98	0.3	0.4	89.2	1735.194793	547.6752293	434719.1259	4453161.078	23	368
2	2	2.5	0.3	0.8	158.6	760.4105774	464.3968302	435829.8768	4451129.182	23	580
1	2	0.5	0.2	1	61.6	798.7639391	55.61325294	433936.0896	4452520.299	6	248
1	2	1.8	0.3	0.65	113.7	743.0651849	351.8195733	436000.3745	4452549.941	17	330
1	1	1.2	0.3	0.8	65	931.0574094	517.1918626	433353.4851	4452620.073	16	255
1	1	2.5	0.3	0.9	65.1	166.0764748	317.1702616	433850.613	4451685.379	6	238
1	2	1.2	0.32	0.8	99.7	41.81275968	326.9995176	433735.2173	4451783.714	23	358
1	1	1.4	0.35	1.5	59.5	1240.899788	357.508714	434180.4405	4452900.547	16	212
1	2	1.5	0.3	1.3	69.5	666.2710304	183.6048023	434364.9146	4451689.177	21	290
4	2	0.5	0.3	5.98	166	682.7818744	445.9359909	438578.9834	4450816.268	42	699
1	2	1.2	0.3	0.8	85.2	563.7670669	280.4111227	433142.5489	4451682.088	24	240
1	2	1.2	0.2	0.9	111.9	1020.777999	317.2092389	432805.9155	4452248.825	11	240
1	2	1.6	0.3	0.6	53.5	1722.428372	625.1112951	434457.2452	4453302.585	21	230
1	2	2.76	0.3	2.35	89	649.1240032	322.0668673	433766.5937	4451114.831	36	340
1	1	1.3	0.3	0.85	75.7	813.6825795	367.4582758	433095.2351	4452300.619	21	265
1	2	1.5	0.3	0.5	78	1347.317006	480.6575542	432365.9015	4451945.168	25	236
1	1	1.2	0.3	0.5	53.9	968.1251223	138.3580689	434664.7916	4451651.825	8	230
1	2	1.2	0.3	1	62.6	1275.523501	546.3404863	433232.3689	4452941.754	27	230
1	2	2.5	0.3	0.9	74.1	1056.907916	111.5425179	434701.2543	4451413.548	35	295
1	2	1.2	0.2	2.5	93.6	516.6544875	287.9728727	433747.3399	4452272.007	21	380
1	2	2.83	0.3	0.8	63.4	1058.560819	241.1977993	435158.2102	4452221.407	21	249
1	2	1.2	0.5	0.9	71.9	1349.423704	320.9725408	435016.2105	4452570.038	9	268
1	2	2.16	0.32	1.15	94.8	1461.244358	314.5232828	434877.5871	4452625.323	21	330
1	2	1.2	0.3	0.8	56.2	850.8824421	222.0781768	434549.124	4451843.639	11	220
1	1	2.5	0.2	0.5	57.1	476.51604	101.8347233	434096.5668	4452025.287	12	217
1	2	1.5	0.3	0.5	83.4	1349.111468	197.9381885	432361.9414	4451588.721	21	255
5	2	0.5	0.45	2.8	215.3	357.2655274	147.9787057	438073.0919	4443362.662	31	1480
1	2	1.4	0.4	0.5	103.9	1650.824354	375.262836	433303.8714	4450161.181	21	265
1	2	1.2	0.2	0.9	86	1368.347221	962.667224	435776.1977	4453137.687	16	288
1	1	1.2	0.3	0.9	53.3	509.3124259	316.1079644	433441.9115	4452195.901	1	208
3	2	1.3	0.3	4.58	292.8	881.6736294	1198.396749	436689.496	4451134.697	35	1580
1	1	1.2	0.23	1.2	69.7	104.4142384	289.4324542	433806.0602	4451754.757	16	215
1	2	1.2	0.2	0.9	94.3	184.3270838	369.700344	433836.348	4451633.261	11	266
4	2	2.5	0.4	4.31	157.5	971.2706126	1589.835864	429980.6433	4412701.972	27	2500
1	0	1.8	0.55	0.9	88.8	570.2715078	507.2552031	438141.6266	4451329.047	41	448
6	1	1.2	0.3	0.9	496	1889.990669	557.6154192	435623.0295	4450008.94	36	2300
2	2	0.5	0.5	4.05	188	13644.27506	3313.452513	452021.4965	4454815.323	22	670
2	0	1.5	0.34	3.7	120	384.714449	355.0161249	458853.576	4421746.878	42	1018
1	2	2.79	0.3	1.58	48.3	726.3239714	723.5580549	466346.785	4419435.092	31	233
1	2	2.5	0.3	0.6	51.7	868.6926503	528.3293504	466135.9234	4419601.72	31	305
1	2	2.8	0.35	1.8	82.7	1365.190804	677.278443	465419.5577	4420115.715	31	482
2	2	2.21	0.3	1.7	97.9	489.8323825	535.7492098	464212.8384	4419138.985	25	510
1	3	2.8	0.35	1.8	80.9	1236.04528	501.0231779	465459.9693	4419943.958	31	498
2	2	1.85	0.4	2.38	96.3	1316.200125	711.3409175	463460.1049	4419952.461	28	639
1	2	2	0.3	1.98	67.3	704.942947	538.0329033	464079.8534	4419326.8	29	412
2	2	1.67	0.3	2.2	128.1	920.7826196	754.85311	464696.5323	4419819.622	26	758
1	1	2.93	0.31	1.3	71	1225.953647	1145.998941	464344.6415	4420086.011	27	340
2	1	2.21	0.33	1.8	130.3	583.5289564	424.7869335	464032.4752	4418939.331	23	825
1	2	2.49	0.3	1.8	68.7	1005.46836	329.6291857	465865.3595	4419695.175	31	410
1	2	2	0.3	1.98	68.6	440.8250353	586.2397694	464360.994	4419239.974	28	415
3	2	1.4	0.31	3.18	226.9	1255.226738	831.7953653	465103.0436	4420119.106	30	1380
1	1	2.47	0.35	1.8	88.2	1330.963124	579.3451184	465812.7433	4420017.674	32	450
1	2	2.8	0.35	1.5	70.6	451.8793946	708.2526683	466358.1369	4419139.71	31	300
1	2	2.8	0.3	5.08	89.2	108.9412866	170.7876983	464786.3441	4419014.977	27	739
2	3	3.5	0.3	5.9	121.3	732.6191624	261.031827	465443.703	4419282.792	33	1250
1	2	2.47	0.35	1.8	90	1320.452833	716.4715906	466047.4184	4420047.834	31	485
3	2	1.6	0.3	0.8	300	296.9430773	559.9629885	438480.0073	4421726.038	21	1450
1	2	2.83	0.4	1	43	272.4532452	92.71444369	440101.7891	4423281.592	10	430
2	2	2.93	0.3	2.88	119.7	842.0384155	568.3226221	458041.9903	4419347.165	30	895
2	2	2.93	0.31	2.88	163.2	809.9547673	661.4633652	457738.4611	4419347.535	30	1170
1	2	1.5	0.34	3.7	117	118.0731715	69.70837135	458920.9869	4421339.604	29	1330
1	2	3.5	0.38	0.89	77.9	1587.96134	357.3639093	459311.2782	4419085.531	21	479
2	2	2.77	0.3	3.9	123.4	958.6645515	324.9936006	458679.2293	4418963.049	28	1010
1	2	2.5	0.3	3	58	521.2857462	277.2967571	458103.3486	4418973.734	29	525
1	2	3	0.3	2.08	58.2	1241.079978	200.2113811	458117.299	4420336.319	28	410
1	2	2.5	0.3	0.55	41	218.463158	209.7901515	458029.9926	4418598.388	19	275
3	2	1.48	0.3	3.7	237.6	188.1436896	321.2366067	458623.6299	4421413.618	33	2350
1	2	2.46	0.4	2.3	58.5	1436.146809	225.1132694	457915.6573	4419965.972	27	435
4	2	2.77	0.3	3.9	201.9	956.7695997	351.4866149	458716.4219	4418873.302	30	2200
1	2	2	0.45	2.98	71	1112.860567	387.6668269	457673.0464	4419652.603	29	558
2	2	3	0.3	2.09	141.6	1158.570576	344.2801155	457764.2691	4420351.506	27	868
1	0	2.8	0.3	2.03	73.4	1680.589853	208.51274	459471.5967	4418856.258	34	440
3	3	2.8	0.3	4.98	174	1909.461755	229.5038563	459738.3436	4419177.194	38	1450
1	2	3	0.33	0.5	87.5	665.4558621	783.7855654	458378.3361	4420857.465	22	525
1	2	2	0.36	3.1	102.5	537.9984198	558.8016716	458943.6234	4420847.684	30	916
1	1	2.3	0.3	2.3	101.2	1454.862384	422.0768227	459240.6645	4418856.669	29	658
2	2	4.9	0.6	6.8	258	234.5326046	466.7862804	452667.5755	4418334.614	23	2250
1	2	3.5	0.32	3.5	79.6	223.8766808	166.158117	451806.1554	4418798.119	29	650
1	2	2	0.25	1.8	125.8	334.5422276	271.0197599	451608.2187	4419767.25	21	1330
2	1	2	0.2	6.3	133.5	126.9814381	208.1834575	452216.87	4418718.044	20	1300
2	2	2.5	0.3	6	129	497.086621	144.4813815	451775.0776	4419098.098	26	848
2	2	3.71	0.5	5.6	133.1	791.9552201	675.5080091	455076.3241	4420250.517	23	1498
2	2	3.83	0.4	8	186.6	487.0809638	550.8740092	454522.6098	4421052.65	23	1580
1	2	2	0.3	2	73.4	427.9767335	485.2075544	451575.5345	4419545.918	21	640
1	1	3.6	0.3	0.56	71.3	626.0344994	462.8712476	451287.6716	4418590.362	7	580
2	2	2.9	0.6	5.98	133.6	289.5601154	518.6048693	451854.3163	4419490.283	17	1499
2	2	5.7	0.3	5.9	216.9	625.4476579	409.0402963	451337.8812	4418650.643	21	1420
2	2	2.5	0.4	5.85	166.9	402.6955865	81.86389794	451765.7144	4418989.184	23	1200
3	0	0.6	0.8	18	251	1509.112137	932.5978492	460243.5358	4430908.166	26	2650
3	2	2.35	0.31	2.1	247.4	374.9873529	332.6961376	454075.726	4421372.688	37	4450
2	2	4.64	0.3	4.6	155.3	445.0278785	894.3055836	454801.9712	4420036.16	26	1200
2	2	3.5	0.45	3.98	185	853.1429512	187.8403866	456141.1901	4420941.524	26	1888
4	2	2.5	0.3	5.5	296	259.392934	739.2747185	456742.388	4421042.341	29	3550
1	2	1.2	0.25	1	64.1	863.2208233	750.2712119	454188.4261	4421846.874	14	499
5	3	1.5	0.34	9.8	464.4	472.2432056	522.8734149	456492.2893	4421253.006	38	8000
2	2	2.1	0.3	3.5	167.6	639.8526221	672.1239343	454489.6327	4421431.67	25	1200
8	2	0.32	0.8	10	661.8	1060.463653	178.261803	456248.0952	4422374.645	26	7299
2	2	4.07	0.4	3.8	143	278.7862657	633.3833835	454690.4453	4422435.94	25	1218
3	2	1.51	0.34	5	275	520.1263376	487.5694456	456482.2404	4420977.216	29	3599
2	2	2.29	0.32	1.8	112.6	807.3674553	436.8994191	455346.2516	4420241.892	18	889
2	2	2.79	0.4	5.08	171	338.7081288	497.2277388	454301.4205	4420628.718	24	1290
2	2	1.2	0.3	0.9	203.3	500.7730995	323.0884939	454595.8501	4422880.167	27	2280
1	2	1.5	0.3	2.85	87.4	257.309223	752.1148724	454650.7213	4419922.207	13	655
2	2	3.98	0.31	6.5	211.6	593.3645617	271.0083829	455590.7169	4420228.811	26	2260
3	3	1.51	0.34	5.5	197	494.8506379	803.7107457	456737.8803	4420742.576	31	2450
2	2	1.51	0.34	5.5	180.9	729.6109286	638.6978074	456475.3361	4420639.341	29	1900
1	2	1.5	0.3	0.9	64.7	781.5729828	400.2209867	455298.9638	4420037.275	4	486
5	2	2.3	0.47	13	394	1055.048502	138.3545472	456249.7338	4422573.867	36	6000
4	2	2	0.45	7.8	321	202.1569075	760.9550256	457029.8551	4421372.762	36	4350
2	2	1.6	0.3	4.2	179.6	609.2322622	291.928827	457300.7715	4420679.975	30	1338
1	2	3.5	0.35	0.5	75.8	568.0411016	593.3552589	454329.3011	4421475.481	7	505
2	1	2.83	0.3	8	166	551.4411852	590.6040894	454530.6077	4421198.951	21	1380
4	2	3.6	0.35	8.27	545	262.2830579	358.5224333	454314.9853	4420891.599	25	3999
2	2	2.5	0.3	0.9	189	320.972745	391.3779355	454365.308	4420997.66	29	1398
1	2	1.2	0.36	0.6	73.3	398.9908182	433.1533978	454328.9164	4421249.179	14	510
2	2	1.5	0.3	9.5	194.1	888.8346558	1062.329686	454085.915	4422331.63	24	1233
1	2	1	0.33	0.6	65.2	454.2128529	420.8521527	445935.5015	4409735.623	9	385
6	2	2.9	0.33	1.35	800	86.93156275	218.6652056	456312.5283	4418659.204	36	5800
8	0	0.6	0.35	8.3	518	2969.633199	1359.029546	461572.4642	4430191.566	31	6300
2	2	3.63	0.6	2.68	182.4	526.4552233	247.839264	437739.9239	4419671.927	25	620
4	2	1.2	0.25	3	591.1	228.2823893	145.1123132	448879.5847	4417766.986	32	8299
4	2	2.43	0.3	3.3	231.5	865.3194576	733.2483909	457343.9361	4425327.808	36	1200
1	2	4.3	0.3	1.7	118.2	403.7483297	233.0734869	439073.9243	4421394.257	21	1200
1	1	2.3	0.38	0.62	78	536.1594929	164.4158284	439825.282	4422010.714	19	950
1	1	2.5	0.3	0.9	51.4	213.826559	260.0968502	440133.2316	4421529.214	7	530
1	2	2.5	0.33	2.9	48.6	117.9894245	122.6178759	439805.6896	4421484.809	25	405
2	1	2.06	0.37	2.66	142	404.5254643	292.34679	439064.0533	4421506.388	21	1290
3	3	4.15	0.35	8	215.7	504.1666421	240.884116	439952.1641	4420772.418	36	2758
2	2	1.5	0.3	2.98	182.4	626.1412493	477.9677777	437821.601	4419892.502	25	620
1	2	1.59	0.27	0.5	71	955.9673938	214.845752	446006.8881	4422636.253	25	1055
1	3	1.25	0.23	1.5	84.7	776.513938	223.1764127	446568.7255	4422732.228	15	1234
2	2	5.45	0.35	3.07	146.2	71.55901764	439.4599619	443768.9195	4420419.74	25	2000
1	1	3	0.3	1	50	76.83376754	493.5760764	443695.0644	4420563.233	17	530
1	2	3	0.3	1.2	47.1	430.6803605	67.08864031	444282.9513	4420231.202	16	698
1	2	1.2	0.3	1.5	68.6	242.3269276	506.9571973	443728.7494	4420978.456	13	870
2	2	3.07	0.3	3.2	161	150.9351478	156.337411	444040.3802	4420500.966	25	2750
2	2	2.5	0.3	1.9	172.8	399.0852642	55.95940564	444295.7569	4420357.861	20	2220
1	2	1.5	0.3	1.25	41.6	193.2669813	223.4557223	444104.475	4420756.201	15	639
1	2	1.99	0.3	2.6	55.6	159.7796289	99.25921872	444104.6377	4420602.249	26	800
1	2	2.5	0.26	1	57.9	162.8955833	546.2010941	443733.9372	4420888.903	9	758
1	3	2	0.2	2.05	86.1	346.5762965	103.1575317	444250.9547	4420440.694	18	1190
1	2	0.5	0.45	1.5	71	425.7237328	289.0607384	447926.8239	4416235.992	25	1055
1	2	1.2	0.3	0.5	62.3	135.3171355	268.4882705	444007.987	4420349.554	11	830
1	1	2.1	0.3	3	59.2	235.6907202	411.3762384	443938.7111	4420875.655	6	688
1	2	2.51	0.3	2	38.3	110.3226243	520.355704	443739.8576	4420812.753	8	590
2	2	1.7	0.45	2.52	172.8	406.304585	503.3427744	438149.4069	4424061.781	25	2200
3	2	2.5	0.35	1.5	288	932.0120005	378.9912387	461169.5931	4421733.588	26	1999
2	2	1.2	0.35	0.7	131.6	4236.946742	572.4342223	422932.0932	4421742.736	29	1288
1	2	1.32	0.45	0.55	112.3	1169.389559	331.0167464	445202.1074	4405152.051	25	865
1	2	1.6	0.3	0.6	102.7	2573.548488	592.6367565	423032.1815	4419909.308	23	206
1	1	1.5	0.31	0.55	73	5468.498911	683.7444718	419584.9444	4420579.715	29	305
3	2	1.3	0.39	3	246.6	314.3257676	252.3977804	431775.5057	4400998.826	37	648
2	1	0.9	0.28	0.6	143.5	764.1437667	513.5168506	443595.204	4435236.818	32	780
4	2	1.5	0.3	4.9	210	5286.406183	3256.853507	456615.1214	4445684.443	39	1070
3	2	2.5	0.35	2.8	446	4148.19061	572.5031842	421946.1781	4421099.306	32	2500
4	1	1.2	0.32	0.48	235.5	3928.862771	547.9441681	422414.5395	4421112.669	40	750
1	2	1.6	0.25	0.54	168	2142.708741	214.9656751	424249.6411	4420033.42	34	940
1	2	1.5	0.3	0.62	75.6	5152.302393	372.6405123	421610.4392	4422066.815	26	225
2	2	2	0.3	5.68	143.7	5444.51307	338.9699482	422468.0055	4423143.391	42	778
2	2	2.2	0.3	5	101.2	4809.835583	489.6130536	422707.0946	4422371.248	41	531
1	2	1.5	0.3	0.52	84.8	4631.947925	544.0201728	422677.7204	4422054.173	20	249
2	2	1.8	0.25	0.55	166	3444.814632	244.436001	422574.9151	4420652.198	40	730
1	2	1.2	0.3	1.35	82.3	4406.834569	500.3747076	423941.0828	4423200.998	22	256
1	2	2	0.36	0.55	68.3	4350.337582	177.0324632	423085.1855	4422108.736	24	265
1	1	1.3	0.3	1	64	4626.157189	725.1940219	423836.865	4423399.698	28	203
1	2	1.8	0.3	0.65	124.8	2445.188684	807.4494375	423457.2873	4419972.544	42	610
1	2	1.2	0.3	0.9	91.8	4499.686807	580.9721735	423730.2728	4423137.016	24	338
4	3	2.28	0.45	3.5	295	220.9314229	457.6303741	455129.0774	4427674.347	27	3300
4	2	2.5	0.35	5.46	295	1162.767898	957.5039133	453277.6162	4424044.7	27	3300
1	2	2.34	0.32	2.6	99.1	666.9812119	281.9712193	457005.1748	4413142.687	32	405
1	2	2	0.3	1.18	85	538.4117945	190.5474041	444384.5652	4431250.363	24	320
1	3	1.8	0.35	1.65	90.1	267.8399089	386.0575458	444072.0843	4431220.487	34	360
2	2	3.86	0.35	3.19	159	430.5103318	56.15986105	454671.4941	4427212.048	30	1450
2	2	2.6	0.35	2.2	136.3	350.8299014	669.1798139	462058.5669	4410788.074	25	880
4	2	1.7	0.35	4.98	295	342.7015675	42.63690334	455037.5454	4424081.27	27	3300
1	2	2.5	0.3	0.9	138.6	905.4675235	699.0229845	432367.2164	4401220.134	23	1080
1	2	1.8	0.4	0.9	55.5	652.7530208	108.64998	455629.9072	4418291.77	4	365
1	2	2.3	0.3	2	90.3	4087.096243	1656.076731	448376.6226	4396415.823	31	245
1	1	1.5	0.35	3.48	89	4378.49965	691.8398125	448145.3787	4395341.131	35	295
1	1	2	0.3	0.9	90	3738.238848	1501.509873	448001.6292	4396413.789	33	255
1	2	1.55	0.35	2.38	91	3902.588165	1297.303758	448073.8249	4396168.834	33	285
1	1	1.5	0.35	2.58	82	4583.451361	658.3256251	448238.6421	4395118.881	33	240
1	2	1.2	0.42	1.8	89.1	8501.667617	1272.814758	449702.5057	4391080.722	33	210
2	0	1.55	0.35	2.38	156.2	4025.826153	650.1440374	448095.9437	4395937.41	36	560
3	1	2.3	0.3	2.1	158.5	4512.146108	1197.096613	448514.5604	4395688.802	33	685
2	2	2.5	0.35	0.9	89	7369.598645	989.3356096	449878.033	4392749.526	42	272
2	1	1.2	0.42	1.8	140	8261.355826	1139.658038	449377.4345	4391138.581	31	320
1	2	1.4	0.3	0.5	87.1	3032.269407	1672.716786	447331.5443	4396641.7	33	200
4	0	0.8	0.3	7.15	300	2114.422686	1220.137567	428059.1222	4413196.826	41	1999
1	2	1.8	0.35	4.2	88.8	4976.650068	904.136504	448524.5099	4394844.546	36	290
1	2	2	0.3	1.35	99.5	617.8943034	267.0298838	453757.446	4425500.085	29	849
1	2	3	0.45	1.68	95.8	2273.978204	1149.508872	427773.5357	4402185.986	31	290
2	2	2.17	0.39	1.48	133.3	2080.29172	973.0594846	428771.9447	4402640.829	32	388
1	2	2.89	0.37	2.96	382	165.1480043	473.8423624	455367.7454	4415308.132	28	1690
6	2	1.2	0.2	0.9	851.9	1170.406328	616.6438557	455721.356	4426083.431	37	12000
1	2	1.2	0.3	0.5	59.5	822.4740752	318.3647587	455562.8083	4425696.656	14	363
2	3	1.3	0.31	5.5	517.1	336.8839569	445.534308	455017.1551	4416177.128	36	1780
1	1	2.7	0.31	2.49	98.4	442.0940206	420.8070361	449634.3287	4427751.255	23	799
2	2	1.56	0.4	1.1	126.1	535.2961872	399.4784607	461494.8391	4419204.884	25	1318
2	2	1.78	0.34	0.5	123.3	181.2963115	618.9798639	462637.744	4418568.454	27	1155
1	2	2.9	0.35	2.6	55.2	396.4504525	707.7689745	455033.4661	4416459.777	27	380
3	2	2.25	0.3	6.5	310.3	688.543804	520.3562437	455375.8908	4416187.783	33	4380
1	2	2.8	0.33	2.5	71.8	515.1102804	491.2065149	455657.4406	4416442.138	27	515
2	2	3.6	0.4	4.2	213	411.4028192	416.4370503	454972.7022	4417950.231	28	1850
2	0	2.89	0.37	3.97	128	271.8674688	100.4162841	455032.6832	4415546.96	28	1294
2	3	2.63	0.3	4.98	168	277.9113735	647.0267607	455613.1962	4415202.854	32	1580
2	3	2.89	0.37	2.96	144	223.1106166	435.7537061	455372.3133	4415459.731	26	1560
2	2	3.8	0.6	2.48	166	614.6054623	285.1447479	461993.281	4417540.443	26	1699
1	2	3.23	0.3	2.66	52.2	313.6024196	275.1097388	454663.7945	4415503.779	25	438
1	1	1.5	0.3	0.55	42.6	432.4349724	296.6577946	454730.8866	4417686.188	14	361
1	2	3	0.3	1.5	63.5	174.1885651	255.1868515	454444.5499	4417289.664	15	405
2	3	2.89	0.33	2.96	115.7	29.99050114	310.7286429	455173.702	4415306.996	29	1350
5	1	1.2	0.35	1.5	350	583.109363	475.4459619	442011.3605	4402468.65	41	1052
1	1	1.3	0.3	0.68	99	4162.708139	689.7371984	422124.2898	4421222.739	17	338
1	2	1.3	0.3	0.68	67.4	4510.480616	633.5436067	422138.419	4421623.51	40	260
1	1	1.2	0.35	0.54	84.1	1817.68054	343.8019239	424198.7444	4419671.203	18	268
3	0	1.1	0.3	4	208	2976.350576	332.5379117	422518.5097	4420076.103	38	900
1	1	2.1	0.3	0.65	67.5	2597.641856	956.9502896	423515.2031	4420193.922	14	235
1	1	1.5	0.35	0.5	68.2	3105.7547	412.7781666	422672.2549	4420320.445	9	239
2	1	1.1	0.3	4	168.4	2952.238286	206.3620104	422361.3439	4419933.363	36	680
1	1	1.3	0.26	0.9	77.2	3015.784038	756.9263635	423085.4803	4420414.044	6	228
1	2	1.74	0.38	0.5	80.5	2177.141743	383.2996059	424058.058	4420001.135	19	286
1	1	1.2	0.3	0.9	64.3	4503.398647	450.9208604	422822.596	4421985.447	13	205
2	1	2.83	0.45	0.54	167.7	819.6628243	214.2850441	423441.6792	4417974.075	26	508
1	2	1.7	0.38	0.54	75	2515.335078	638.9499155	423928.0986	4420312.525	22	288
1	1	3.2	0.32	1.6	92.9	2809.46218	901.3612837	423828.4926	4420588.81	23	366
3	2	1.1	0.35	8.22	191	3325.837058	2313.903414	418679.1182	4414560.305	41	950
2	1	1.2	0.3	0.55	131.1	3984.820745	323.2344901	421787.1532	4420792.036	36	570
2	2	2.67	0.3	8.2	183	4391.230104	754.7953561	422370.2394	4421602.095	42	888
2	2	2.8	0.35	5	93	330.8066035	1239.42883	424705.3488	4418269.252	42	468
1	1	1.2	0.28	0.9	63.7	3516.22162	1122.303594	423354.191	4421149.671	18	245
1	1	1.5	0.25	0.18	64.9	5014.925973	245.0174354	422192.4387	4422212.714	11	213
1	1	1.6	0.35	0.9	83.9	4070.305654	792.7607967	422554.0223	4421333.158	16	236
2	2	2.29	0.3	0.54	123	2777.083214	822.1458326	423996.2302	4420616.484	29	538
1	1	1.8	0.3	0.65	62.6	2666.700103	1045.202071	423412.08	4420209.831	10	200
1	1	3	0.36	1.35	82.8	3673.898024	668.5247729	422829.4379	4421029.918	24	270
1	1	1.3	0.3	0.9	56.8	3321.524337	952.2242116	423247.3182	4420874.746	1	205
